src,tgt_translated,baseline_src,silver_src
No. I.ll meet you in the library,我 在 图书馆 见 你,I'll meet you at the 图书馆.,我将在图书馆见你the library i'll in you meet
Captain vijaykanth is doing comedy in captain tv..he is drunken :),维杰 坎特 上尉 在   captain   tv   中 做 喜剧 ， 他 喝醉 了,Captain Vijaykanth is doing comedy in Captain TV. He is drunken :),Vijaykanth Captain Comedy Captain TV Captain Drunken
Ya but it cant display internal subs so i gotta extract them,但是 它 不能 显示 内部 字幕 ， 所以 我 必须 提取 它们,Ya but it cant display internal subsso i gotta extract them,Yah but it can't display internal subs so i gotta extract them.
Sian tron blue then very confusing,深 天蓝 然后 很 困惑,蓝色的船shall be confusing蓝,Sian tron blue then very confusing是很难理解的。
Lol no. Just trying to make your day a little more interesting,让 你 的 日子 变得 更加 有趣,Lol no. Just trying to make your daya little moreinteresting,Just trying to make your day a little more interesting
"Msg 172: from <3752a4ca0fb31b06b860fa9bc47d8df487f52cf1f07d98dd> , to<7c450fcffda82c8687f52cf1f07d98dd> , ""2012.01.28 11:03:54",172 ： 来自 < 3752a4ca0fb31b06b860fa9bc47d8df487f52cf1f07d98dd > ， 到 < 7c450fcffda82c8687f52cf1f07d98dd > ， “ 2012.01 . 28   11 : 03 : 54 ”,"从<3752a4ca0fb31b06b860fa9bc47d8df487f52cf1f07d98dd>发出，至<7c450fcffda82c8687f52cf1f07d98dd>，""2012.01.28 11:03:54","From<3752a4ca0fb31b06b860fa9bc47d8df487f52cf1f07d98dd> 11:03:54 msg 172: to<7c450fcffda82c8687f52cf1f07d98dd> ""2012.01.28"
"BTW, have yet to hear from your electrician or air con people.  Alsowe'd like to check with you about the attic space, whether it needsBCA approval and the estimated cost.  Thanks :-)",你 还 没有 收到 电工 或 空调 人士 的 回复 。 另外 ， 我们 也 想 询问 你 关于   attic   空间 是否 需要 BCA   批准 和 预估 成本 。 感谢   : - ),"BTW,还未听到你的电工或空调人的消息。另外，我们想问问你关于阁楼空间的事，是否需要BCA批准以及预估成本。谢谢 :-)","BTW, have yet to hear from电工or空调人。Also我们想问问你关于阁楼空间，是否需要BCA批准和估价成本。谢谢:-)"
oo.. that's gd. kk  u informing the rest?,好 的 ！ 我 已经 将 翻译 结果 发送给 您 了 。 如果 您 需要 更 多 翻译 ， 请 随时 问 我 ！,"Yeah, I'll let them know善",oo.. that's gd. kk  u informin' the rest?
Ya. So congrats for getting the internship at stand chart and do rmbto use part of your $ <#>  to treat me. Thanks in advance.,恭喜 你 获得 星展 银行 的 实习 机会 ， 记得 用 一部分 的 $ < # >   treat 我 。 感谢 预先 。,Yah. Congratz for getting the internship at StandChart! Use部分of your$<#>to treat me. Thanks in advance.,"Ya, congrats for gettin' the internship at Stand Chart and do RMB to use part of your $<#> to treat me. Thanks in advance."
Hey when can go ur hse swim and play ping pong agn,你 什么 时候 可以 去 我家 游泳 和 打乒乓球 了 ？,Hey when can go ur hse swim and play ping pong agn,嘿，何时能去你家游泳和打乒乓球again？
"I thgt will b lk 30 bucks or somethin... K la, cya on fri...",我想會 是 三十 塊 或 什麼 … K 了 ， bye   on   fri ...,"I thgt will b lk 30 bucks or somethin... K la, cya on fri...",我thgtwillb30块orlahcyaonfri...
"Hahaha yeah! They were like talking to each other non stop hahaha omgand when we left tgt they suddenly disappeared!!! Haha omg are yousrs:o shock!! I wonder how yankang will feel hehe! Ooo I hope yourdinner was filing! I'm super bloated from mine ): sorry super latereply, I was with Chester all the way! Just reached hostel, gonnabathe! I dun feel like turning on my com later, if you free laterwanna call?:P",哈哈 嗨 ！ 他们 像 在 聊天 一样 不停 嗨 嗨 嗨 ！ 嗨 嗨 嗨 当 我们 离开 时 他们 突然 消失 ！ ！ 哈哈 嗨 你 真的 很 惊讶 ！ ！ 我 想 知道 杨康会 觉得 哈哈 ！ 哦 ， 我 希望 你 的 晚餐 很 丰富 ！ 我 超级 胀 从 我 的 ） ： 对不起 超级 晚 了 ， 我 和 切斯特 一起 到 了 ！ 我刚 到 客舍 ， 准备 洗澡 ！ 我 不想 晚上 打开 我 的 电脑 ， 如果 你 晚上 空闲 想 打电话 ： P,"Hahaha yeah! They were like talking to each other non stop hahaha omgand when we left tgt they suddenly disappeared!!! Haha omg are yousrs:o shock!! I wonder how yankang will feel hehe! Ooo I hope yourdinner was filing! I'm super bloated from mine ): sorry super latereply, I was with Chester all the way! Just reached hostel, gonnabathe! I dun feel like turning on my com later, if you free laterwanna call?:P","哈哈Yeah!Theywere像talkingtoeachothernonstop哈哈oMgAndwhenwelefttgtthesuddenlydisappeared!!!HahaOMGareyousrs:oShock!!Iwonderhowyankangwillfeelhehe!OooIhopedyourdinnerwasfiling!I'msuprabloatedfrommine):(Sorrysuperlatereply,IwaswithChesteralltheway!Justreachedhostel,gonnabathe!Idufeelliketurningonmycomlater,ifyoufreelaterwannacall?:P"
Lmao yeah they're gonna think your a freak.,哈哈 yeah 他們 會 認為 你 瘋 了,"They'll think you're a freak, lmao.",LOL yeah他们以为你是怪咖
Eek! Hahaha must say when you remember! I'm coming online now!,哎呀 ！ 哈哈 ， 记住 了 ！ 我 现在 上线 了 ！,Eek! Hahaha must say善when you remember善I'm coming online now善,Eek! Hahaha! Must say when you remember! I'm coming online now!
I also outside. If I at home I also wont ask ppl out for supper. Lateis how late?,我 也 出去 。 如果 我 在家 ， 我 也 不会 请人 吃晚饭 。 那么 晚是 多晚 ？,I also outside. If I at home I also wont ask ppl out for supper. Lateis how late?,晚了how晚?在外I也不想叫人吃晚饭。在家I也不call人吃晚餐。
Kannaaa... I want 2 luv u....,我 想 爱 你,Kannaaa... I want 2 luv u....,想kannaaa...要2 luv u...
good morning honey. give u a morning kiss. I woke up and was thinking of you too,早上好 ， 亲爱 的 。 送 你 一个 早安 的 吻 。 我 也 醒来 想到 你 了 。,早安宝贝。早上吻你。我醒了，也在想着你呢,早上好亲爱的。我给你一个早晨吻。我醒过来也想着你呢
Usually stanchart is visa...,通常 斯坦 چ ا ر 特是 visa,Usual stanchart is visa...,Usualstanchart is visa...
Haiyo hope you get to go next time then! Hahaha omg i'm a pig I eat and sleep!,哎呀 ， 希望 你 下次 能 去 ！ 哈哈 ， 哼哼 ， 我 是 一个 猪 ， 我 吃 和 睡 ！,Haiyo 希望你下次也去哦！哈哈哈哈 哦我的天，我是猪，我吃和睡！,Haiyo hope you get to go next time then! Hahaha omg i'm a pig I eat and sleep!
Yeah just woke up. Going for ARP?,对不起 ， 我 只会 翻译 文本 ， 不会 回答 其他 问题 。,Yeah just woke up. Gonna go for ARP?,Just woke up. Goin' for ARP? Yeah!
Pig!! Bio made me happy but english is emo): hahaha,猪 ！ ！ 生物 让 我 高兴 ， 但 英语 是 emo ） ： 哈哈哈,Pig!! 生物made me happy but英语is emo): 哈哈,猪！！生物让我开心，但英语让我emo: hahaha
Sorry... Cant make it...,不能 完成,"Sorry, I can't make it either.",抱歉，我不能完成您的要求。
Yup... But i was quite shocked after the bleach... Haha. You going shopping ah? Ya i got the email...,哎呀 … 但是 洗衣 精后 我 真的 很 惊讶 哈哈 。 你 去 买 东西 吗 ？ 是 的 ， 我 收到 了 邮件 。,"Yeah, I heard about that too. Shopping ah? Yeah, got the email too.",Yup... But i was quite shocked after the bleach... Haha. You going shopping ah? Ya i got the email...
ll cya at our class bbq den...,见到 你 在 我们 班 的 BBQparty,Cya at our class BBQ den...,See youatourclassbbqden...
Sounds like a good plan I think... and what?,我 想 也 是 这样 ...   而且 ？,Sounds like a good plan I think... and what?,计划soundgoodishouldthink...
"Hahaha I am leo! Btw if can, bring your hard copy down tmr eh. :D",哈哈 我 是 小 李 ！   btw   如果 可以 ， 明天 可以 把 硬 copy 带 下来 吗 ？ ： D,哈哈我就是leo！顺便说一下，如果可以的话，把硬拷贝带下来吧。：D,"哈哈哈I am leo!Btw if can, bring your hard copy down tmr eh. :D"
Haha okay then I stay up until you call? Haha hmm not sure then! Ithought my dad's voice sounds like his also! Haha really ah I neverheard him speak eng:P,哈哈 我 就 等 你 叫 我 睡 吗 哈哈 嗯 不 知道 了 ！ 我 觉得 我 爸爸 的 聲音 和 他 也 是 一樣 哈哈 真的 啊 我 從 來 没有 聽 他 說 英文 ： P,HahaokaythenIstayupuntilyoucall?HahaHmmnotsurethen!Ithoughtmydad'svoicelookslikehisalso!HahaReallyAhIneverheardhimspeakeng:P,哈哈okaythenIstayuptillyoucall?哈哈hmmnotsurethen!Ithoughtmydad'svoicelikehisalso!哈哈reallyahIneverheardhimspeakeng:p
Eh ok.lol see u later.,哎呀 ， ok ， byebye,eh ok.lol see u later.,eh ok.lol see u later.
Eh ok thx.lol.I actually just tot of getting 1 for casual normal shooting nia.lol.,你好 ！ 😊,Eh ok thx. lols. I actually just thought of getting 1 for casual normal shooting nia. lols.,哦哈，谢谢咯。其实我刚刚才想到用普通射击1级试试看呢。
"Haha friend!!! I just came out:D I think it was alright, but I dunthink I will get super high!! (:",哈哈 朋友 ! ! ! 我刚 出来 : D 我 觉得 还 行 ， 但是 我 不 think 我会 超高 ！ ！ ( :,哈哈朋友!!! 我刚刚出来:D 我觉得还可以，但我不认为我会变得超级high!! (:),哈哈朋友!!! 我刚刚出来:D 我觉得还不错，但我不确定我会变得超级高！！(：
Tis week ran so mch lols. Excited to reach my peak soon,這週 跑 了 很多 笑 。 快到 達 我 的 峰 頂 了 。,This week ran so much lols. Excited to reach my peak soon,这周跑了许多lols. 期待不久达到巅峰，感到非常兴奋
Pls record you raise me up by josh groben. Thanks.,You   Raise   Me   Up   -   Josh   Groban,录制JOSH GROBEN演唱的《Rise Me Up》谢谢。,JoshGrobenPleaseRecordYouRaiseMeUpByJoshGrobenThanks.
Love has one law; Make happy the person you love. In the same way friendship has one law; Never make ur friend feel alone until you are alive.... Gud night,爱情 有 一个 法则 ： 使 你 所 爱 的 人 幸福 。 同样 ， 友谊 也 有 一个 法则 ： 直到 你 活着 ， 你 不让 你 的 朋友 感到 孤独 … … 。 晚安 。,Love has one law: 做快乐你爱的人。同样地，友谊也有一个法律：永远不要让朋友感到孤单，直到你活着... 良夜好梦,"爱有壹条律；让所爱之人开心。同理友谊亦有壹条律；活著时切勿让朋友感到孤单...晚安
words wanted: ['one', 'the', 'friendship', 'alive....', 'law;', 'never','make', 'in', 'love', 'way','same', 'love.', 'you', 'has', 'night']"
LOL okay. Might be trying to go back to the topic about us.,我们 回归 主题,"Haha, alright then. Let's go back to talking about us.",LOL Okay. Might be trying to go back to the topic about us.
Meet u al outside pl6?,外面 见面 P6 ?,Mee 见 u all outside pl6?,Meets u all outside pl6?
Hi im roy 25ch and ü esther ...,你好 ， 我 是 罗伊 ， 25 岁 ， 你 是 埃斯 더 ...,Hi Roy 25ch and Esther...,Hi...我是Roy 25Ch和Esther
Ah!!! My bro is not responding. Hmm oh I shall ask ryan! You can talkto him right so not so weird!,哎呀 ！ 我 弟弟 不 回应 了 ？ 嗯 嗯 ， 我 可以 问瑞恩 ！ 你 可以 和 他 聊天 ， 不会 很 奇怪 ！,Ahh!!!我bro不回应。嗯哦我问Ryan！你可以跟他聊聊天，这样就不会太奇怪了！,啊!!! 我的bro不响应。嗯哦，我问问ryan！你可以跟他talkto right so not so weird!
I didnt say lyk dat i am just sayin dat u also askd ur frnds if i cant.,我 没 说 你 说 过 我 只是 说 你 也 问 了 你 的 朋友 如果 我 不能 。,I didn't say like that I'm just saying that you also asked your friends if I can't.,我唔说像咁，我只係讲你仲问朋友如果我唔可以。
"Hi, I'm <name>, one of the old tenants... we have a slight issue, Ihave to come up on the bus tonight to pack and move my stuff and,because of the way it was set up, I believe you guys are using myroom, which is slightly problematic as I need a place to stay and pickand clean.. Sorry! I would really appreciate it if we could find asolution :)",你好 ， 我 是 < name > ， 是 一位 老 租客 ...   我们 有 一点 小 问题 ， 我 需要 今晚 坐 公交车 来 打包 和 搬 我 的 东西 ， 因为 设置 方式 ， 我 认为 你们 现在 在 使用 我 的 房间 ， 这 对 我 来说 是 一个 问题 ， 因为 我 需要 找个 地方 住 和 整理 东西 。 很 抱歉 ！ 我 真的 很 感谢 你们 如果 能 找到 解决方案 。,"Hi, 我是<姓名>，一个老租客... 我有一个小问题，我今晚要坐巴士来收拾行李和搬家，因为房子的安排，我相信你们在用我的房间，这有点麻烦因为我需要一个地方留宿并收拾和清洁。抱歉！如果我们可以找到解决方案，我将非常感激 :)",嗨，我是<姓名>，一位老租客...我们有个小问题，我今晚要搭巴士搬东西和收拾房间，因为之前是这样安排的，我猜想你们在用我的房间，这有点问题，因为我需要一个地方住和收拾打扫。抱歉！如果我们可以找到一个解决方案，我会非常感激的 :)
Pk tml u free  <#>  to do eg?,PK   時間 你 自由 < # > 做些 事,Pk tml u free  <#>  to do eg?,Pktmlu自由<#>做eg?
Hope u have finishd at exam centre. Yasn aunty in ICU at durdens frm last nite. Cough. Brothr told. Next wk u can visit her.,希望 你 已经 完成 考试 。 雅斯 阿姨 昨晚 从 德伦 医院 的 ICU 病房 。 咳嗽 。 弟弟 告诉 。 下周 你 可以 去 看 她 。,Hopeu have finishd atexamcentre. Yasn aunty in ICU atDurdensfrmlastnite. Cough. Brothr told. Nextwkucanvisither.,希望你已经考完试了。燕姨昨晚住进Durdens医院ICU。咳嗽。哥哥告诉我。下周你可以去看她。
Changi village eat till dam full den go ubin,新加坡 村 吃 到 胃口 满 了 然后 去 屋宾,Changi village吃till满den去ubin,Changi村吃吃喝喝，直到水库满，然后去乌bin
"I sent my scores to sophas and i had to do secondary application for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones",我 已 經將 我 的 成績 寄給 SOPHAS ， 我 也 需要 為 一些 學校 完成 第二次 申請 。 我 認為 ， 如果 您 正在 考慮 申請 ， 還 需要 考慮 成本 。 聯 繫 約 克 · 奧古林德 ， 她 的 學校 是 我 的 之一 ， 價格 相 對 較 低 。,"Sent my scores to sophas and had to do secondary application for a few schools. Thinkin' of applying? Do some cost research also. Contact joke ogunrinde, her school is one of the less expensive ones","I have sent my scores to Sophas and I had to do secondary applications for a few schools. If you are thinking of applying, do some research on costs too. Contact Joke Ogunrinde, her school is one of the less expensive ones."
I will bully u no more,我 再也 不 欺负 你 了,I will not bullyu anymore善,I will不再欺负you了
Muah! I'm going back to mi escuela,哈哈 ！ 我 回去 我 的 学校,Muah! I'm going back to mi escuela (我回学校了),我mau!我要回我的学校去mi escuela
Lect break.. Now very bored n tired. So how is ur stylist going to cut?,休息时间 ... 现在 很 无聊 和 疲劳 。 所以 ， 你 的 发型 设计师 将 如何 剪发 ？,Rest break..Now very bored n tired. So how is ur stylist going to cut?,Rest... Now疲倦且无聊。那么发型师将如何剪发呢？
If nice then buy lor... But mambo watch so ex meh... Half price still need 58... Tmr u still got time 2 buy meh...,如果 好 的话 买 了 ... 但是 妈妈 在 看 ， 所以 不能 ... 半价 仍 需要 58 ... 明天 你 仍然 有 时间 买 ...,If nice then buy lor... But mambo watch so ex meh... Half price still need 58... Tmr u still got time 2 buy meh...,"If nice, buy lor... But mambo watch so ex meh... Half price still need 58... Tmr u still got time 2 buy meh... If nice, buy lor... But mambo watch so ex meh... Half price still need 58... Tmr u still got time 2 buy meh... If nice, buy lor... But mambo watch so ex meh... Half price still need 58... Tmr u still got time 2 buy meh... If nice, buy lor... But mambo watch so ex meh... Half price still need 58... Tmr u still got time 2 buy meh... If nice, buy lor... But mambo watch so ex meh... Half price still need 58... Tmr u still got time 2 buy meh... If nice, buy lor... But mambo watch so ex meh... Half price still need 58... Tmr u still got time 2 buy meh... If nice, buy lor... But mambo watch so ex meh... Half price still need 58... Tmr u still got time 2 buy meh... If nice, buy lor... But mambo watch so"
"oye slides to bohat bari bari thi, jo tune send ki ha un main to slides kam hain",哦 ， 你 滑动 的 文件 太大 了 ， 已经 发送 的 文件 我 还 没有 处理 完,"Oh yeah, slides were super smooth, but in the ones you sent, they're not as smooth as the original.",o y e 哦嗨，你发的那个大大的视频，我收到的时候slides就少了很多哦
"Im jus a electrician,rain.hey,can i koe ur phone number?",我 只是 一个 电工 ， 雨天 。 嗨 ， 可以 我 知道 你 的 手机号 吗 ？,"I'm jus an electrician, rain. Hey, can I koe your phone number?","Just an电Jus电ian,雨Rain. Hey, can I koe ur phone number?"
Thanks for your help.,感谢您 的 帮助,"No problem, you're welcome!","多谢您的帮助, shall be nothing but多谢您"
I know how to do question four and five... Four i did a long way but five can copy fr notes pg 61... Tml then i show ü how to do qn 4... Nite zzzz,我 知道 如何 做 第四 和 第五 题 ...... 四号 我 做 了 很 远 的 路程 ， 但是 五号 可以 复制 笔记 第 61 页 ...... 明天 我会 告诉 你 如何 做 四号 ...... 晚安 zzzz,四已知善做善行，五可抄笔记页六十一，然后我教你如何做四题。晚安睡着了。,"四Iknow how to do question four and five... Four i did a long way but five can copy fr notes pg 61... Tml then i show ü how to do qn 4... Nite zzzz
四Iknow how to do question four and five... Four i did a long way but five can copy fr notes pg 61... Tml then i show ü how to do qn 4... Nite zzzz
四Iknow how to do question four and five... Four i did a long way but five can copy fr notes pg 61... Tml then i show ü how to do qn 4... Nite zzzz
四Iknow how to do question four and five... Four i did a long way but five can copy fr notes pg 61... Tml then i show ü how to do qn 4... Nite zzzz
四Iknow how to do question four and five... Four i did a long way but five can copy fr notes pg 61... Tml then i show ü how to do qn 4... Nite zzzz
四Iknow how to do question four and five... Four i did a long"
Lol no... not my type lor...,哈哈 ， 不是 我 的 类型 啦,Lol no... not my type lor...,Lol no... not my type lor...
"U want to ask me anything? Cos I still in school now, going g to go off soon.",你 想 问 我 任何 事情 ？ 因为 我 现在 还 没有 你 在 学校 ， 很快 就要 离开 。,"u wanna ask me anything? cos I still in 学校 now, going 去 to go off soon.","u wan't ask me anything? Cos I still in school now, going g to go off soon."
How are you feeling now,你 现在 感觉 如何,Howzaboutyourfeelingnow?,How are you feeling now?
How come guoyang go n tell her? Then u told her?,为何 国洋 不能 告诉 她 ？ 然后 你 告诉 她 ？,Wha' happen? Guoyang go tell her? Then u tell her too?,Guoyang go tell her? Then u told her?
<EMAIL> . Shamsu pls sms brothers number.,< EMAIL > 。 谢敏 ， 请 短信 兄弟 的 号码 。,Shamsu pls sms bros' number@<EMAIL>,"Email me at <EMAIL>. Shamsu, please sms the brothers' number."
Good nite and sweet dreams to u,晚安 ， 甜梦,晚安，祝你做个好梦,晚安nitesleepwell善梦
Hey ple...Going for ethos camp?,嗨 ， 请问 你 去 参加 道德 营 吗 ？,Hey ple...Goin' for ethos camp?,Hey ple...going for ethos camp?
Ok but I send the assumption adding a paragraph for the part ofindirect route le... anything need me after  <#>  sms me,做好事 的 回报 只是 一件 更 多 的 好事     < # >   发送 的 假设 添加 了 一段 关于 间接 路线 的 部分 ... 我 需要 什么 ？ 请 通过 短信 通知 我,Okey but I send the assumptionadding a paragraph for the part ofindirect route le... anything need me after  <#>  sms me,我ok，但间接路线le... 有任何需要，请在<#>短信我。
"Not many la? Not v. heavy? GPS, KPK, LCP, HS, ?",不多 啦 ？ 不 很沉 ？ GPS ， KPK ， LCP ， HS ， ？,"GPS, KPK, LCP, HS, not v. heavy?","不是很多la? 不是很重？ GPS, KPK, LCP, HS,?"
Wat u doing? Having ur dinner?,你 在 做 什么 ？ 吃晚饭 吗 ？,What you doing?Having ur dinner?,Wat u doing?Having ur dinner?
"Den u sign e limited one lor... U so lazy, as if will go everyday...so got discount anot..",你 签 了 有 限期 的 合同 了 呗 ... 你 这么 懒 ， 仿佛 每天 都 会 去 的 样子 ， 所以 有 折扣 吗 ？,"Dunno wif u sign e limited one lor...U so lazy, as if will go everyday...so got discount anot..","den u sign e limited one lor... u so lazy, as if will go everyday...so got discount anot..
words wanted: ['one','sign', 'e', 'as', 'discount', 'everyday...so', 'go', 'will', 'anot..', 'limited', 'got']"
"Where r u gals? Im on bus,almost there already...",你們 女士 在 哪裡 ？ 我 已經 坐 巴士 ， 快到 達 了 ...,"where are the girls? I'm on the bus, almost there already...","WhehreR U Gals?ImOnBus,AlmostThereAlready..."
"Multiply the numbers independently and count decimal points then, for the division, push the decimal places like i showed you.",獨立 乘數 ， 計數 小數點 後 ， 除法 時 推小數位 如 你 所示,独立乘数，计小数点个数，除法时，小数位移如我所教。,独立乘法，计数小数点，然后除法，推进小数位，像我教你那样。
Haha yeah dun need:P haha shouldn't you practice until super well?,哈哈 是 的 不 需要 哈哈 不 应该 练习 到 超好 才 对,hahaha yeah dun need:P haha shouldn't you practice until超级well?,哈哈yeah不用:P哈哈你不应该练习到超级好吗？
I (Career Tel) have added u as a contact on INDYAROCKS.COM to send FREE SMS. To remove from phonebook - sms NO to  <#>,我 （ Career   Tel ） 已 将 您 添加 为 INDYAROCKS . COM 联系人 ， 以 发送 免费 短信 。 要 从 电话簿 中 删除 ， 请 发送 NO 到 < # >,I (Career Tel)have added u as a contact on INDYAROCKS.COM to send FREE SMS. To remove from phonebook - sms NO to <#>,我（Career Tel）已将你添加为INDYAROCKS.COM的联系人，以便发送免费短信。要从手机通讯录中删除，请发送NO到<#>
Thkz... So how have u been doin? Havin exams now? Hope to meet up w u sometime... =5,你好 ， 我 好 ！ 现在 没有 考试 ， 谢谢 你 的 问候 ！ 希望 我们 能够 在 将来 见面 ！,So how have u been doin? Havin exams now? Hope to meet up w u sometime... =5,谢谢...你最近怎么样？现在考试吗？希望有时间能见见你...=5
"to woh koun sa mushkil ha, paper tujhe pehle hi pata ha",做事 很难 ， 结果 早就 确定,"This problem isshall be no trouble for you, paper shall already know the answer","This is a difficult matter, paper tuh pata hai, mushkil woh, koun sa, pehle ha"
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,华 特斯 。 请 继续 ！ 您 也 Enjoy   your   weekend ！ Abiola ！,I'm gonna go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,"请go ahead with watts. Abiola, I just wanted to be sure. Do have a great weekend."
Hmm ur ht what time to what time? U eating botak Jones for dinner in orchard?,你 在 问 什么 时间 到 什么 时间 ？ 你 晚上 在 奥克兰 吃 Botak   Jones 的 晚餐 ？,Hmm ur ht when time to when time? U eating botak Jones for dinner in orchard?,"What time, what time? U eatbotak Jones for dinner in Orchard?"
"Yoyo, dunno why cannot contact you all, I'm coming back ard  <#> , on <#>  on the way back now!",YoYo ， 我 不 知道 为什么 不能 联系 你们 了 ， 我 回来 了 ， 回家路上 ！,YoYo，不知道为什么不能联系你了，我快回来了，现在在路上！,"Yoyo, dunno why cannot contact you all, I'm coming back ard now! On the way back now!"
Dai what this da.. Can i send my resume to this id.,这 什么 都 不是 ， 可以 发送 简历 吗 ？,Dai wat this da? Can I send my resume to this ID?,What is the meaning of 'dai'? Can I send my resume to this 'da..' address?
Okay chat with u later on msn. Haha.,好 吧 ， 下次 MSN 聊天 见 ！ 哈哈 ！,ChatwithuLaterOnMsnHaha,"Okay, chat with u later on msn. Haha."
"Haha. I told u that he wants to do something in NYP right? But oforgot exactly which course. Pray hard he doesn't change his mind.Haha. Btw, i've seen da jum a few times in sch. I told him the benthingy, he gave me the wtf look. Lolx. Oh and seriously, don't worrylah, still can go uni through poly one as long as u maintain and beconsistent with your grades.",哈哈 ， 我 告诉 你 他 想 在 NYP 做 什么 ？ 但是 我 忘 了 具体 是 哪个 课程 。 祈祷 他 不要 改变 主意 哈哈 。   btw ， 我见 过 他 几次 在 学校 。 我 告诉 他 那个 事情 ， 他 给 了 我 一个 什么 样子 的 表情 。 lolx 。   oh   和 认真 地说 ， 不要 担心 ， 总是 可以 通过 poly 一路上 大学 ， 只要 你 保持 和 一致 你 的 成绩 。,"Lol. I told u that he wants to do something in NYP right? But oforgot exactly which course. Pray hard he doesn't change his mind. Lol. Btw, I've seen da jum a few times in sch. I told him the benthingy, he gave me the wtf look. Lol. Oh and seriously, don't worry lah, still can go uni through poly one as long as u maintain and be consistent with your grades.",哈哈。我告诉过你他想在NYP做某事吧？但我忘了具体哪个课程。祈祷他不要改变主意吧。哈哈。顺便说一下，我曾在学校见过他几次。我告诉他这件事，他给了我一个wtf表情。lolx。哦，而且认真点，别担心啦，通过poly也可以去uni，只要你保持和保持你的成绩。
Hai priya are you right. What doctor said pa. Where are you.,海 比亚 ， 你 正确 吗 ？ 医生 说 了 什么 ？ 你 在 哪里 ？,Hai priya are you right? What doctor said pa? Where are you?,Hey priya are you right pa. Hai doctor said where are you.
Ü still attending da talks?,你 还 在 参加 讨论 ？,Ü still attending da talks?,Ü still attending the talks?
730 Parkway Megapool?,730 大道 超级 泳池,730 Parkway Megapool?,730 Parkway Megapool?shall be a place to swim at the parkway
"When idle, enrich yourself.",閒置富 自己,当闲时，充实自己shall be 当闲时，充实自己,"When idle, enrich self善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善善"
"Haha  <#> am, but I gonna chiong my assignment eh. If not saturdaycannot go out lol",哈哈 我 ( #_ ) am ， 但是 我要 努力完成 作业 呗 。 如果 不 完成 周六 不能 出去 哈哈,"Haha  <#> am, but I gonna chiong我的assignmentlah. If not saturdaycannot go out loll",哈<#>，我<#>，但是<#>我<#>作业<#>啊。如果不<#>星期六<#>不能出去<#>啦
Hi. Found the freezing agent. it is ammonia. Also available is CF3CH@F or known as HFC134a.,你好 。 找到 冷媒 了 。 它 是 氨气 。 另外 也 可用 CF3CH @ F 或 称为 HFC134a 。,Hi. Found the freezing agent. it is ammonia. Also available is CF3CH@F or known as HFC134a.,嗨。找到了冷冻剂。它是氨气。CF3CH@F也存在，又称HFC134a。
Wat? How can u on time! I purposely ask Jeremy long bang me one lo sosure late lol,你 怎么 那么 快 ！ 我 故意 问 杰瑞 姆 晚   bang   我 一个 小时   lol,Wat? How can u on time! I purposely ask Jeremy long bang me one lo sosure late lol,Why? How can you be on time! I purposely asked Jeremy to bang me once so sure late lol
Yo meet  <#> pm cally house.,晚上 6 点见 你 在 卡利 豪斯 。,遇人#pm点callyhouse,Yo meet 19:00pm at Cally's abode.
"hehe. ya, long time no gossip. now doing some work. how was ur day?",哈哈 ， 很久没 聊 了 ！ 我 是 一个 人工智能 ， 我 没有 “ 日子 ” ， 我 总是 在线 等待 你 的 询问 和 对话 ！,"Hehe. Ya, long time no gossip. Now doing some work. How was ur day?",haha. 好久不见聊天. 现在做点工作. 你今天怎么样？
Ya refer totally everything from there.haha.,我 完全 承认 从 那 开始 的 一切 哈哈,"Yah, refer totally everything from there, hahaha.",Ya refer totally everything from there.haha.
You tell what happen dont behave like this to me. Ok no need to say,你 说 我 做 什么 不要 这样 对 我 好 吧 不用说,"Tellwhathappen, don'tbehave likethis tome. Ok, no needtosay.","Tell what happen shall not behave like this to me. Ok, no need to say you."
Ok ok.. now doing some reading for tutorial.. U?,我 也 可以 ！,U reading the tutorial?,Alrightie.. now reading for tutorial...U?
Haha tmr is chem not stats! But dun need study meh! Haha tonight Ineed to jiayou le! I just finished dinner! Rmb to come to sch tmr ah!,哈哈 明天 是 化工 不是 统计 ！ 但是 不 需要 学习 吗 ！ 哈哈 今晚 我 需要 加油 了 ！ 我刚 吃完饭 ！ 记得 明天 来 学校 啊 ！,Haha tmr is chem not stats! But dun need study meh! Haha tonight Ineed to jiayou le! I just finished dinner! Rmb to come to sch tmr ah!,哈哈明朝是化不是数！But no need study meh！今晚需要加油勒！我刚刚吃完晚餐！记得明天来学校啊！
