method_1,direction_1,model_1,method_2,direction_2,model_2,input_id
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,913
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,347
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,649
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,455
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,991
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,832
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,13
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,947
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,828
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,937
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,243
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,255
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,226
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,130
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,678
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,651
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,765
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,37
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,165
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,831
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,423
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,14
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,893
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,917
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,835
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,124
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,453
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,663
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,486
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,579
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,458
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,200
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,695
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,504
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,697
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,939
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,301
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,992
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,586
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,494
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,605
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,344
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,778
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,285
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,358
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,848
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,905
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,287
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,752
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,414
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,684
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,60
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,833
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,617
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,70
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,461
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,673
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,557
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,748
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,67
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,11
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,78
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,605
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,579
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,211
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,229
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,941
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,825
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,845
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,105
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,461
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,933
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,611
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,7
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,498
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,231
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,980
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,880
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,274
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,734
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,998
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,163
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,18
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,942
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,584
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,717
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,296
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,101
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,129
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,462
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,320
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,253
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,395
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,772
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,898
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,550
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,704
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,28
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,217
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,715
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,350
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,431
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,205
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,935
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,975
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,227
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,573
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,948
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,917
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,53
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,532
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,930
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,445
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,430
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,978
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,865
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,953
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,496
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,980
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,659
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,655
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,506
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,760
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,783
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,518
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,253
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,227
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,845
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,472
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,502
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,772
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,172
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,681
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,725
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,642
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,823
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,172
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,709
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,386
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,35
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,558
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,690
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,80
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,428
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,180
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,588
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,165
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,896
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,535
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,549
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,115
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,172
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,911
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,791
baseline,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,100
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,728
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,644
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,64
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,289
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,130
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,551
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,651
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,962
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,613
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,158
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,935
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,815
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,631
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,282
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,585
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,702
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,735
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,417
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,776
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,138
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,307
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,52
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,723
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,849
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,546
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,560
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,274
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,782
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,209
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,524
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,624
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,475
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,408
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,798
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,760
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,808
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,171
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,217
gold,tgt,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,135
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,305
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,112
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,604
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,192
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,866
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,54
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,691
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,215
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,301
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,975
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,508
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,729
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,188
gold,tgt,full_gpt-4o-mini,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,486
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,515
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,414
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,817
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,752
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,264
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,290
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,419
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,38
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,787
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,553
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,803
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,23
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,743
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,142
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,900
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,616
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,292
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,284
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,578
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,806
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,584
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,593
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,92
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,948
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,835
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,117
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,864
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,208
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,738
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,135
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,852
gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,284
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,931
silver,tgt,full_gpt-4o-mini,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,239
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,27
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,462
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,776
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,641
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,224
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,295
silver,src,full_gpt-4o-mini,silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,885
gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,146
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,455
baseline,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,870
gold,src,full_gpt-4o-mini,silver,src,full_gpt-4o-mini,186
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,235
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,407
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,2
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,449
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,563
baseline,src,full_gpt-4o-mini,baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,818
gold,src,full_gpt-4o-mini,gold,src,full_meta-llama_Meta-Llama-3-8B-Instruct,735
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,159
gold,src,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,654
silver,src,full_meta-llama_Meta-Llama-3-8B-Instruct,silver,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,723
baseline,tgt,full_gpt-4o-mini,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,346
baseline,tgt,full_gpt-4o-mini,gold,tgt,full_gpt-4o-mini,38
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,445
baseline,src,full_meta-llama_Meta-Llama-3-8B-Instruct,baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,6
baseline,src,full_gpt-4o-mini,baseline,tgt,full_gpt-4o-mini,910
baseline,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,gold,tgt,full_meta-llama_Meta-Llama-3-8B-Instruct,944
silver,src,full_gpt-4o-mini,silver,tgt,full_gpt-4o-mini,276
baseline,src,full_gpt-4o-mini,gold,src,full_gpt-4o-mini,597
